股票代號,股票名稱,產業,收盤價,今日漲跌%,VCP強度,Pivot進場價,建議停損,距高點%,縮量次數,量比,成交量(股),更新日期,RS分數
2408,南亞科,電子,445.5,10.0,99,496.4,414.32,11.498648121538233,8,0.7390842106537445,63116009,2026-07-22,100
3189,景碩,電子,796.0,6.702412868632708,99,937.4,740.28,15.083846606821439,6,0.3887256374162427,25513197,2026-07-22,99
8046,南電,其他,1305.0,9.663865546218489,99,1415.0,1213.65,7.773851590106007,5,1.0077547217381044,17098496,2026-07-22,99
1303,南亞,傳產,208.0,6.3938618925831205,99,230.0,193.44,9.565217391304348,3,1.4071070276726645,114133169,2026-07-22,98
2383,台光電,電子,5125.0,6.107660455486543,99,6250.0,4766.25,18.0,3,0.9065908561782874,2278809,2026-07-22,97
3532,台勝科,電子,468.0,7.958477508650519,99,552.0,435.24,15.217391304347828,2,2.2973931177594005,14292451,2026-07-22,97
4958,臻鼎-KY,其他,559.0,9.823182711198427,99,659.0,519.87,15.174506828528072,4,1.1041995709583883,45912734,2026-07-22,96
8039,台虹,其他,233.0,9.90566037735849,99,233.0,216.69,0.0,3,1.7523750032462975,27658482,2026-07-22,96
2243,宏旭-KY,傳產,52.2,-2.611936102680266,99,67.8,48.55,23.0088518977049,4,0.6321839147740148,527479,2026-07-22,95
3711,日月光投控,電子,656.0,3.6334913112164293,99,722.4,610.08,9.191212283799073,5,0.8782614029751827,22686981,2026-07-22,95
6213,聯茂,電子,367.0,3.5260930888575457,99,424.5,341.31,13.54534746760895,5,1.1028887667633442,28169673,2026-07-22,94
6141,柏承,電子,42.0,8.949418498620227,99,44.0,39.06,11.48577592267637,5,0.8787165234715674,1755307,2026-07-22,93
8150,南茂,其他,100.0,-3.8461538461538463,99,125.0,93.0,20.0,5,1.3341040818038448,101258442,2026-07-22,93
2059,川湖,傳產,8125.0,1.8808777429467085,99,8900.0,7556.25,8.707865168539326,4,1.0651518366913404,410755,2026-07-22,92
2305,全友,電子,33.75,5.799374305932865,99,42.65,31.39,20.867529208594796,4,0.8431538849002103,4921703,2026-07-22,92
2493,揚博,電子,262.0,9.853249475890985,99,332.01,243.66,21.086098983010153,7,0.6957258411233096,973488,2026-07-22,91
3229,晟鈦,電子,42.7,4.528769542036471,99,48.45,39.71,21.507353740373674,7,0.5593708590245641,717247,2026-07-22,91
3055,蔚華科,電子,165.5,-2.0710059171597637,99,201.0,153.92,17.66169154228856,6,0.2669532159287518,598918,2026-07-22,89
6446,藥華藥,其他,1180.0,0.425531914893617,99,1413.81,1097.4,16.537354715572818,6,0.8314604994053184,2021993,2026-07-22,89
6196,帆宣,電子,548.0,1.4814814814814816,99,607.0,509.64,9.71993410214168,6,0.7250982371028345,1320679,2026-07-22,88
4807,日成-KY,其他,39.95,2.5673940447043337,99,44.65,37.15,12.962964194205483,7,0.8404825910312261,272563,2026-07-22,86
6197,佳必琪,電子,315.0,2.4390243902439024,99,405.0,292.95,22.22222222222222,10,0.5652676673177846,2177756,2026-07-22,86
6166,凌華,電子,145.0,9.848484848484848,99,151.15,134.85,11.33666135509152,7,0.42127697155721283,2580404,2026-07-22,84
4916,事欣科,其他,106.5,-0.46728971962616817,97,119.5,99.04,16.470588235294116,9,0.7229685491543801,8768544,2026-07-22,88
1560,中砂,傳產,707.0,4.585798816568047,94,784.74,657.51,9.906265976352493,4,0.9214138421571707,1720723,2026-07-22,79
8028,昇陽半導體,其他,308.0,0.9836065573770493,90,364.0,286.44,15.384615384615385,4,0.8147764823373128,10010544,2026-07-22,85
6949,沛爾生醫-創,其他,1010.0,1.6096579476861168,86,1120.0,939.3,9.821428571428571,6,1.447076050694804,94811,2026-07-22,98
2395,研華,電子,596.0,5.114638447971781,86,618.0,554.28,3.559870550161812,4,1.0164398510712271,9482256,2026-07-22,73
2883,凱基金,金融,30.45,2.525252460383342,81,31.2,28.32,2.4038460950644542,7,0.4303571318340645,57892009,2026-07-22,80
3702,大聯大,電子,118.0,5.829596412556054,79,123.0,109.74,7.450980392156863,8,0.883347715878105,11861803,2026-07-22,71
7788,松川精密,其他,239.5,4.585152838427948,75,278.0,222.74,21.603927986906708,6,0.9023472977996012,1258715,2026-07-22,72
3033,威健,電子,50.2,1.8255609326710565,75,59.4,46.69,15.488216374760988,4,1.286973191622599,7510233,2026-07-22,64
2885,元大金,金融,63.1,2.9363772585046126,74,70.23,58.68,10.153646945774183,5,1.085684977360886,43212018,2026-07-22,81
1326,台化,傳產,70.6,2.9154519598925166,72,73.5,65.66,3.9455803073182394,2,1.6363975475088899,93784621,2026-07-22,90
0057,富邦摩台,傳產,310.0,1.4066037361021237,71,324.5,288.3,6.202723146747353,8,0.9508923843592247,10289,2026-07-22,79
5434,崇越,其他,565.0,3.2906764168190126,71,602.0,525.45,6.146179401993355,5,1.4387609061116684,1608140,2026-07-22,78
6139,亞翔,電子,844.0,3.5582822085889574,70,987.0,784.92,14.488348530901723,7,0.6150615975134982,2949471,2026-07-22,87
0050,元大台灣50,傳產,103.85,1.3170716820693598,70,109.28,96.58,6.9617634012620275,6,1.24347258253325,107589360,2026-07-22,80
5471,松翰,其他,57.5,1.9503518517040537,67,68.25,53.48,15.750340150063153,8,1.0789289248897014,5412959,2026-07-22,75
2887,台新新光金,金融,34.6,-0.2881910277222949,64,36.3,32.18,4.6891604161273674,5,0.7253399648907214,54079605,2026-07-22,82
2330,台積電,半導體,2400.0,-0.4149377593360996,64,2505.0,2232.0,5.325443786982249,7,1.0079634062798608,30943838,2026-07-22,81
0056,元大高股息,傳產,50.95,2.8254319827149175,62,52.49,47.38,4.616985362433914,5,1.2702109887259638,63276483,2026-07-22,67
3094,聯傑,電子,38.15,-1.2936610097291061,61,46.15,35.48,17.33477732501038,8,0.9261587329775737,3725568,2026-07-22,65
2434,統懋,電子,71.8,2.425113572954373,60,90.8,66.77,20.925109428872616,5,1.5203194275610268,157719,2026-07-22,87
6944,兆聯實業,其他,1030.0,2.4875621890547266,59,1070.0,957.9,7.623318385650224,6,0.8322137349783088,1035708,2026-07-22,85
6414,樺漢,其他,490.0,9.988776655443322,59,490.0,455.7,0.0,2,1.2521402475221308,5321882,2026-07-22,71
